,Reviewer_Name,Review,Rating,Time,Tat_ID
2,Jessica N.,"Loved this place , I got a second piercing and earrings for a great price, and they randomly sell the best incense I've ever smelled :), highly recommended .",5.0,2018-09-24 09:49:37,is4zyo5-reuj0cNM1Q7kgw
3,June S.,"I'd never go anywhere else. work! Clean, safe and I always recommend to friends who want a piercing or tattoo! Everyone is really nice people. 

The first...",5.0,2018-03-23 18:02:56,is4zyo5-reuj0cNM1Q7kgw
4,Sequoiah W.,"I got my first tattoo here back in July and obviously it's now fully healed. I loved the atmosphere of the shop, Redd was very informative and took his time...",3.0,2020-03-09 05:08:29,is4zyo5-reuj0cNM1Q7kgw
5,Jessica N.,"Loved this place , I got a second piercing and earrings for a great price, and they randomly sell the best incense I've ever smelled :), highly recommended .",5.0,2018-09-24 09:49:37,is4zyo5-reuj0cNM1Q7kgw
6,June S.,"I'd never go anywhere else. work! Clean, safe and I always recommend to friends who want a piercing or tattoo! Everyone is really nice people. 

The first...",5.0,2018-03-23 18:02:56,is4zyo5-reuj0cNM1Q7kgw
7,Sequoiah W.,"I got my first tattoo here back in July and obviously it's now fully healed. I loved the atmosphere of the shop, Redd was very informative and took his time...",3.0,2020-03-09 05:08:29,is4zyo5-reuj0cNM1Q7kgw
8,Jessica N.,"Loved this place , I got a second piercing and earrings for a great price, and they randomly sell the best incense I've ever smelled :), highly recommended .",5.0,2018-09-24 09:49:37,is4zyo5-reuj0cNM1Q7kgw
0,Damien B.,"Andreana is a great inker. 

We contacted her from France to make a tattoo during our stay in NYC. She quickly answered and she had great advices. 

Her...",5.0,2018-09-11 18:19:05,rVmMdMyCHPN5jxYyQMLtyg
1,Anthony P.,"Andreana is an amazing professional and human been. After my research for a tattoo shop in Astoria, Supernova came out and so far was the best choice....",5.0,2019-06-27 10:38:46,rVmMdMyCHPN5jxYyQMLtyg
2,James R.,"I've gone to Andreana for my first 2 tattoos. She took her time to interpret what I wanted, came up with suggestions, made requested changes and engaged in...",5.0,2018-10-06 17:13:28,rVmMdMyCHPN5jxYyQMLtyg
3,Damien B.,"Andreana is a great inker. 

We contacted her from France to make a tattoo during our stay in NYC. She quickly answered and she had great advices. 

Her...",5.0,2018-09-11 18:19:05,rVmMdMyCHPN5jxYyQMLtyg
